#pade.dat
#aproksymacja Pade funkcji exp(-x)
#x        exp(-x)        z1             z2             
       0.0            1.0            1.0            1.0
       0.1     0.90483742     0.90483619     0.90483871
       0.2     0.81873075     0.81871345        0.81875
       0.3     0.74081822     0.74074074     0.74090909
       0.4     0.67032005     0.67010309     0.67058824
       0.5     0.60653066     0.60606061     0.60714286
       0.6     0.54881164     0.54794521           0.55
       0.7      0.4965853     0.49515608     0.49864865
       0.8     0.44932896     0.44715447     0.45263158
       0.9     0.40656966     0.40345821     0.41153846
       1.0     0.36787944     0.36363636          0.375
       1.1     0.33287108     0.32730405     0.34268293
       1.2     0.30119421     0.29411765     0.31428571
       1.3     0.27253179     0.26377036     0.28953488
       1.4     0.24659696      0.2359882     0.26818182
       1.5     0.22313016     0.21052632           0.25
       1.6     0.20189652     0.18716578     0.23478261
       1.7     0.18268352     0.16571064     0.22234043
       1.8     0.16529889      0.1459854         0.2125
       1.9     0.14956862     0.12783266     0.20510204
       2.0     0.13533528     0.11111111            0.2
       2.1     0.12245643     0.09569378     0.19705882
       2.2     0.11080316    0.081466395     0.19615385
       2.3     0.10025884    0.068326013     0.19716981
       2.4    0.090717953    0.056179775            0.2
       2.5    0.082084999     0.04494382     0.20454545
       2.6    0.074273578    0.034542314     0.21071429
       2.7    0.067205513      0.0249066     0.21842105
       2.8    0.060810063    0.015974441     0.22758621
       2.9     0.05502322   0.0076893502     0.23813559
       3.0    0.049787068 -9.8686491e-17           0.25
       3.1    0.045049202   -0.007140307     0.26311475
       3.2    0.040762204   -0.013774105     0.27741935
       3.3    0.036883167   -0.019940179     0.29285714
       3.4     0.03337327   -0.025673941       0.309375
       3.5    0.030197383   -0.031007752     0.32692308
       3.6    0.027323722   -0.035971223     0.34545455
       3.7    0.024723526   -0.040591476     0.36492537
       3.8    0.022370772   -0.044893378     0.38529412
       3.9    0.020241911   -0.048899756     0.40652174
       4.0    0.018315639   -0.052631579     0.42857143
       4.1    0.016572675   -0.056108136     0.45140845
       4.2    0.014995577   -0.059347181          0.475
       4.3    0.013568559   -0.062365076     0.49931507
       4.4     0.01227734   -0.065176909     0.52432432
       4.5    0.011108997    -0.06779661           0.55
       4.6    0.010051836    -0.07023705     0.57631579
       4.7   0.0090952771    -0.07251013     0.60324675
       4.8    0.008229747   -0.074626866     0.63076923
       4.9   0.0074465831    -0.07659746     0.65886076
       5.0    0.006737947   -0.078431373         0.6875
